,network,iter,epoch,type,loss,accuracy
0,I,1,1,train,0.5626126707102717,0.7398725089506188
1,I,1,2,train,0.5215568235632374,0.7501542246344157
2,I,1,3,train,0.4835353067829215,0.7501542271960794
3,I,1,4,train,0.4346196627987037,0.7637260930910292
4,I,1,5,train,0.37985875636320804,0.8168825823756223
5,I,1,6,train,0.32815792209788797,0.8732264027682788
6,I,1,7,train,0.2850186052622433,0.8866954563626434
7,I,1,8,train,0.25198168526785675,0.9024264861006269
8,I,1,9,train,0.2274768395744281,0.9159983537850643
9,I,1,10,train,0.20901464957858024,0.9272054312480665
10,I,1,11,train,0.1947417848215117,0.9315237479275597
11,I,1,12,train,0.18342029090197812,0.9351223512684247
12,I,1,13,train,0.17410579090583675,0.9382068644377912
13,I,1,14,train,0.1660587581561324,0.941085747747835
14,I,1,15,train,0.1590184001472294,0.9433477237934
15,I,1,16,train,0.1527822333066865,0.9457125201309607
16,I,1,17,train,0.14708877822609073,0.9469463229056815
17,I,1,18,train,0.14188561179915893,0.949105487018364
18,I,1,19,train,0.13698371143564628,0.9502364783504729
19,I,1,20,train,0.13244237972922515,0.9519843689311367
20,I,1,21,train,0.12800001630794358,0.9545547965498047
21,I,1,22,train,0.12415341310679558,0.9560970552120095
22,I,1,23,train,0.12038910589957467,0.9587703001810498
23,I,1,24,train,0.11681500764239258,0.9600041130308308
24,I,1,25,train,0.11351738500755656,0.96082664902701
25,I,1,26,train,0.11029414286399951,0.9625745407230394
26,I,1,27,train,0.10732851205184923,0.963499893334185
27,I,1,28,train,0.10460634869562606,0.9652477849566738
28,I,1,29,train,0.10197138683588912,0.9663787822210566
29,I,1,30,train,0.09958351690129882,0.967921039289882
30,I,1,31,train,0.09726749095662053,0.9689492132225915
31,I,1,32,train,0.09505970674349941,0.9705942877521001
32,I,1,33,train,0.0929879500968648,0.9715196452659515
33,I,1,34,train,0.09115710546042897,0.972650632246909
34,I,1,35,train,0.08939609127113438,0.9730619081567399
35,I,1,36,train,0.08773216028122678,0.9738844361369953
36,I,1,37,train,0.08616220931929128,0.9742957126106374
37,I,1,38,train,0.0846972930230355,0.9759407888438362
38,I,1,39,train,0.08340833266404536,0.9768661414549819
39,I,1,40,train,0.08214752513048901,0.9765576886562023
40,I,1,41,train,0.08098684453621657,0.9774830466480675
41,I,1,42,train,0.07993719303482921,0.9785112186196947
42,I,1,43,train,0.07890109911962422,0.9790253074674627
43,I,1,44,train,0.07800365373976383,0.9797450260764994
44,I,1,45,train,0.07703465396285963,0.9804647470633483
45,I,1,46,train,0.07625802959798664,0.9807731982319781
46,I,1,47,train,0.07544888668152964,0.9813901010840218
47,I,1,48,train,0.07472927595959655,0.9814929206283549
48,I,1,49,train,0.07402617069056636,0.9820070031638893
49,I,1,50,train,0.07344594592147714,0.9821098182835305
50,I,1,1,validation,0.5415824451199741,0.7495378968676005
51,I,1,2,validation,0.5183179413765504,0.7495378968676005
52,I,1,3,validation,0.4856691677777472,0.7495378968676005
53,I,1,4,validation,0.44325958470540217,0.7495378968676005
54,I,1,5,validation,0.39534057376565424,0.778188543597343
55,I,1,6,validation,0.34786612015775303,0.8955637712355242
56,I,1,7,validation,0.3061722709819702,0.9177449181428017
57,I,1,8,validation,0.27118905524890213,0.9223659858245286
58,I,1,9,validation,0.24271711938482557,0.9242144128972193
59,I,1,10,validation,0.218968280086676,0.9343807728145127
60,I,1,11,validation,0.19858565593272612,0.94177449212277
61,I,1,12,validation,0.18246246444650147,0.9436229191954607
62,I,1,13,validation,0.16836089463198692,0.9473197733408422
63,I,1,14,validation,0.15573255662666893,0.9510166385037181
64,I,1,15,validation,0.14461357561034768,0.9547134926490995
65,I,1,16,validation,0.1355767356104419,0.9565619197217903
66,I,1,17,validation,0.1285470837861465,0.958410346794481
67,I,1,18,validation,0.12000974333826142,0.9611829984210115
68,I,1,19,validation,0.11511843298973305,0.9611829984210115
69,I,1,20,validation,0.10594163040411891,0.9639556390300476
70,I,1,21,validation,0.10708600453440231,0.9611829984210115
71,I,1,22,validation,0.09691499248009292,0.9658040661027383
72,I,1,23,validation,0.09538146426519052,0.964879852566393
73,I,1,24,validation,0.09295278718753575,0.964879852566393
74,I,1,25,validation,0.08299284006938917,0.9722735718746502
75,I,1,26,validation,0.07862564579836763,0.9759704260200317
76,I,1,27,validation,0.0809418448142005,0.9713493583383049
77,I,1,28,validation,0.07741911232113398,0.9731977854109957
78,I,1,29,validation,0.0748959652625038,0.9759704260200317
79,I,1,30,validation,0.07435937582510016,0.9759704260200317
80,I,1,31,validation,0.06853316503261903,0.9768946395563771
81,I,1,32,validation,0.06990855904691982,0.9768946395563771
82,I,1,33,validation,0.0639239977115624,0.9805914937017586
83,I,1,34,validation,0.06358099664094928,0.9787430666290678
84,I,1,35,validation,0.06303116360372844,0.9805914937017586
85,I,1,36,validation,0.06335345679436175,0.9787430666290678
86,I,1,37,validation,0.05905742156224639,0.9861367859373251
87,I,1,38,validation,0.06096720108469731,0.9824399207744493
88,I,1,39,validation,0.06023208500194241,0.9852125724009798
89,I,1,40,validation,0.05380001707543067,0.9870609994736705
90,I,1,41,validation,0.0551083265888107,0.9861367859373251
91,I,1,42,validation,0.05601599999805035,0.9861367859373251
92,I,1,43,validation,0.05503142415072473,0.9861367859373251
93,I,1,44,validation,0.0510798579498492,0.9953789323182732
94,I,1,45,validation,0.047716194402268104,0.9990757864636547
95,I,1,46,validation,0.04953726208915111,0.9990757864636547
96,I,1,47,validation,0.050623018253257226,0.997227359390964
97,I,1,48,validation,0.04922098433512802,0.9990757864636547
98,I,1,49,validation,0.05389069214931477,0.9926062806917427
99,I,1,50,validation,0.049269763859550085,0.9990757864636547
