Name;dType;Categorical;Ordered;Categories;Categories_Fixed
MSSubClass;int64;True;False;[20, 30, 40, 45, 50, 60, 70, 75, 80, 85, 90, 120, 160, 180, 190];[20, 30, 40, 45, 50, 60, 70, 75, 80, 85, 90, 120, 160, 180, 190]
MSZoning;object;True;False;['C (all)', 'FV', 'RH', 'RL', 'RM'];['C', 'FV', 'RH', 'RL', 'RM']
LotFrontage;float64;;;;
LotArea;int64;;;;
Street;object;True;True;['Grvl', 'Pave'];['Grvl', 'Pave']
Alley;object;True;False;['Grvl', 'Pave', 'NaN'];['Grvl', 'Pave', 'NA']
LotShape;object;True;True;['IR3', 'IR2', 'IR1', 'Reg'];['IR3', 'IR2', 'IR1', 'Reg']
LandContour;object;True;False;['Bnk', 'HLS', 'Low', 'Lvl'];['Bnk', 'HLS', 'Low', 'Lvl']
Utilities;object;True;True;['ELO', 'NoSeWa', 'NoSewr', 'AllPub'];['ELO', 'NoSeWa', 'NoSewr', 'AllPub']
LotConfig;object;True;False;['Corner', 'CulDSac', 'FR2', 'FR3', 'Inside'];['Corner', 'CulDSac', 'FR2', 'FR3', 'Inside']
LandSlope;object;True;True;['Sev', 'Mod', 'Gtl'];['Sev', 'Mod', 'Gtl']
Neighborhood;object;True;False;['Blmngtn', 'Blueste', 'BrDale', 'BrkSide', 'ClearCr', 'CollgCr', 'Crawfor', 'Edwards', 'Gilbert', 'IDOTRR', 'MeadowV', 'Mitchel', 'NAmes', 'NPkVill', 'NWAmes', 'NoRidge', 'NridgHt', 'OldTown', 'SWISU', 'Sawyer', 'SawyerW', 'Somerst', 'StoneBr', 'Timber', 'Veenker'];['Blmngtn', 'Blueste', 'BrDale', 'BrkSide', 'ClearCr', 'CollgCr', 'Crawfor', 'Edwards', 'Gilbert', 'IDOTRR', 'MeadowV', 'Mitchel', 'Names', 'NPkVill', 'NWAmes', 'NoRidge', 'NridgHt', 'OldTown', 'SWISU', 'Sawyer', 'SawyerW', 'Somerst', 'StoneBr', 'Timber', 'Veenker']
Condition1;object;True;False;['Artery', 'Feedr', 'Norm', 'PosA', 'PosN', 'RRAe', 'RRAn', 'RRNe', 'RRNn'];['Artery', 'Feedr', 'Norm', 'PosA', 'PosN', 'RRAe', 'RRAn', 'RRNe', 'RRNn']
Condition2;object;True;False;['Artery', 'Feedr', 'Norm', 'PosA', 'PosN', 'RRAe', 'RRAn', 'RRNn'];['Artery', 'Feedr', 'Norm', 'PosA', 'PosN', 'RRAe', 'RRAn', 'RRNn']
BldgType;object;True;False;['1Fam', '2fmCon', 'Duplex', 'Twnhs', 'TwnhsE'];['1Fam', '2FmCon', 'Duplx', 'TwnhsI', 'TwnhsE']
HouseStyle;object;True;False;['1.5Fin', '1.5Unf', '1Story', '2.5Fin', '2.5Unf', '2Story', 'SFoyer', 'SLvl'];['1.5Fin', '1.5Unf', '1Story', '2.5Fin', '2.5Unf', '2Story', 'SFoyer', 'SLvl']
OverallQual;int64;True;True;[1,2,3,4,5,6,7,8,9,10];[1,2,3,4,5,6,7,8,9,10]
OverallCond;int64;True;True;[1,2,3,4,5,6,7,8,9,10];[1,2,3,4,5,6,7,8,9,10]
YearBuilt;int64;;;;
YearRemodAdd;int64;;;;
RoofStyle;object;True;False;['Flat', 'Gable', 'Gambrel', 'Hip', 'Mansard', 'Shed'];['Flat', 'Gable', 'Gambrel', 'Hip', 'Mansard', 'Shed']
